Id,nom
130,"Q406 - TDM abdomen complet (incluant l'étude du foie, des reins et du pancréas) et pelvis (incluant l'étude de l'appareil génital) ;"
131,Q407 - TDM membres et tête ;
132,Q408 - TDM membres et thorax ;
133,Q409 - TDM membres et abdomen ;
134,Q431 Myéloscanner
135,Q432 Angioscanner
136,Q433 Coloscanner
137,Q434 Autre scanner spécifique
138,
139,ECHOGRAPHIE
140,Q410 Echographie abdominale
141,Q417 Echographie pelvienne
142,Q429 Echographie abdomino-pelvienne
143,Q411 Echographie transfontanelle
144,Q412 Echographie cardiaque
145,Q413 Echographie hépatique
146,Q414 Echographie mammaire
147,Q415 Echographie obstétricale
148,Q416 Echographie oculaire
149,Q418 Echographie Bronchique / Thoracique
150,Q419 Echographie prostate
151,Q420 Echographie rénale
152,Q421 Echographie testiculaire
153,"Q422 Echographie Arbre Urinaire (reins, uretères, vessie et le cas échéant prostate)"
154,Q423 Echographie thyroidienne
155,Q425 Echographie tumorale ou partie molle
156,Q430 Echographie de contrôle ou surveillance d'une pathologie
157,Q435 Echo Doppler cardiaque
158,Q436 Echo Doppler des vaisseaux quelque soit la région
159,Q437 Echomammographie
160,Q500 Imagerie résonnance magnétique (IRM) cérébrale
161,Q501 Imagerie résonnance magnétique (IRM) rachis cervical
162,Q502 Imagerie résonnance magnétique (IRM) rachis dorsal
163,Q503 Imagerie résonnance magnétique (IRM) rachis lombaire
164,Q504 Imagerie résonsance magnétique (IRM) bassin
165,"Q505 Imagerie résonnance magnétique (IRM) d'une articulation (genou, épaule,cheville, autres)"
166,Q506 Imagerie résonnance magnétique (IRM) du thorax
167,Q507 Imagerie résonnance magnétique (IRM) de l'abodomen
168,Q508 Imagerie résonnance magnétique (IRM) de deux organes ou segments
169,Q509 Imagerie résonnance magnétique (IRM) de trois organes ou segments
170,Q510 Produit de contraste IRM
171,R100 Selles KOP Direct
172,R104 Selles KOP Méthode de concentration
173,R105 Selles KOP par Scotch test (Graham)
174,Sang
175,R101 Frottis mince et goutte épaisse (GE)
176,Urines
177,R102 Recherche de parasites urinaires
178,R106 Recherche de Schistosome (urines)
179,Peau
180,R103 Biopsie cutanée exsangue (BCE)
181,IMMUNOLOGIE-IMMUNOHEMATOLOGIE
182,IMMUNO-HEMATOLOGIE
183,R300 Groupage ABO / Rhésus
184,R301 Test de Coombs direct
185,R303 Test de Coombs indirect
186,R302 Autres recherches d’agglutinines irrégulières (RAI)
187,R304 Anticorps antiphospholipides
188,R305 Anti-facteur IX
189,R306 Anti-facteur VIII
190,R307 Caryotype sanguin
191,R308 Dépistage des anticoagulants circulants (ACC)
192,R309 Facteur IX
193,R310 Facteur V
194,R311 Facteur V II
195,R312 Facteur V III
196,R313 Facteur V Leiden
197,R314 Facteur X
198,R315 Facteur XII
199,R316 Genotypage VHC
200,R317 Immunoglobulines E
201,R318 Protéine S
202,R319 Protéine C
203,SEROLOGIE INFECTIEUSE ET PARASITAIRE
204,Sérologie parasitaire
205,R400 Sérologie de la toxoplasmose (Dosage des anticorps)
206,R402 Sérologie amibienne
207,R403 Sérologie bilharzienne
208,R405 Autres sérologies parasitaires
209,Sérologie bacterienne
210,R406 Sérologie des tréponématoses (TPHA - VDRL)
211,R407 Sérologie des chlamydiae
212,R428 Recherche d'antigène chlaydiae
213,R408 Sérologie des salmonelloses
214,R409 Sérologie anti-streptococcique (ASLO)
215,R433 Sérologie anti-streptococcique test rapid (ASLO)
216,R410 Autres sérologies bactériennes
217,R437 Chlamydiae Dosage d'IgA
218,R438 Chlamydiae Dosage d'IgG
219,R439 Chlamydiae Dosage d'IgM
220,Sérologie virale
221,R411 Sérologie de la rubéole
222,R412 Sérologie VIH SRV
223,R413 Sérologie VIH SRV (Elisa et autres méthodes immunologiques)
224,R414 Sérologie de l’hépatite A (IgM)
225,R436 Anti-Hépatite A (IGG/IGM)
226,R415 Sérologie de l’Hépatite B: Ag HBs (test rapides validés)
227,R416 Sérologie de l’hépatite B : Ag HBs (ELISA et autres)
228,R417 Sérologie de l’hépatite B : Ag Hbe
229,"R418 Sérologie de l’hépatite B : autres marqueurs (Anti HBc, Anti HBe)"
